name,review_text,rating,institution
"SURYA CHANDRA TIWARI Dept. of Chemical Engg. & Tech., IIT (BHU) Varanasi",No Text,5,IIT Delhi Library
Raghvendra Gupta,No Text,5,IIT Delhi Library
Ashish Meena,No Text,5,IIT Delhi Library
Nitika Ghosh,No Text,5,IIT Delhi Library
Sachin_Tiwari Baba,No Text,5,IIT Delhi Library
Shankhasuvra Dutta,No Text,5,IIT Delhi Library
Sai Kartheek,No Text,4,IIT Delhi Library
Neam Adil,No Text,5,IIT Delhi Library
Juhi soni,No Text,5,IIT Delhi Library
Ratnesh Nath,A peaceful environment to study all day long. Best place for students inside IIT Delhi. Loved it. Thanks IIT Delhi for having such a world class library.,5,IIT Delhi Library
Shivkant Mishra,"Of course! ""The best reading  place in India""!The atmosphere is filled with electrifying positive energy of endless dreams and aspirations beyond expectations of thousands of finest brains of the country. This place is also a hub of UPSC  aspirants of IIT Delhi (CSE and ESE).",5,IIT Delhi Library
Ajith Kumar,No Text,5,IIT Delhi Library
charu verma,No Text,5,IIT Delhi Library
Ashutosh Kumar,No Text,5,IIT Delhi Library
Pankaj Kumar,One of the most professional libraries in delhi and North India. Staff is cooperative and helps out all time,5,IIT Delhi Library
Prashant Kumar,No Text,5,IIT Delhi Library
Priyanshu Raj,No Text,5,IIT Delhi Library
Yash Sakhare,No Text,5,IIT Delhi Library
Deepak Kumar Singh,No Text,5,IIT Delhi Library
Anjali Gautam,No Text,5,IIT Delhi Library
Promila Singh,No Text,5,IIT Delhi Library
shashi shekhar,No Text,5,IIT Delhi Library
Abhinav Sharma,No Text,5,IIT Delhi Library
Ashutosh Upadhyay,No Text,5,IIT Delhi Library
Lomash,No Text,5,IIT Delhi Library
Ajay Nayak,"Having almost all modern library facilities and spread over 3 floors, it provides varieties of options for great learning and reading experience.",5,IIT Delhi Library
Ankit Nautiyal,BEST library of South-Delhi @IITD with over 1.89 L+ books & 6.5 K+ theses !!,5,IIT Delhi Library
Dipanshu Gupta,No Text,4,IIT Delhi Library
Damodar Meena,No Text,5,IIT Delhi Library
Himanshu Bairwa,Great experience,4,IIT Delhi Library
Sushil Sharma,No Text,5,IIT Delhi Library
MOHD SHANU,"One the best place at iit delhi. Clean and calm place. Nice ACs, even in hot summer  you will avoid to sit directly  below the ac vent. In terms of books and literature, there is a huge and wide collection.
Central library  of iit delhi is also  evolve in lots of academic activities and literature  progress programs.",5,IIT Delhi Library
Raiyan Sulemani,No Text,5,IIT Delhi Library
K,No Text,5,IIT Delhi Library
a b,No Text,5,IIT Delhi Library
Aaryaansh Agarwal,No Text,4,IIT Delhi Library
Rahul Kumar,No Text,5,IIT Delhi Library
Abhishek Rawat,No Text,5,IIT Delhi Library
Janeesh kumar Gupta,No Text,1,IIT Delhi Library
Manisha verma,No Text,5,IIT Delhi Library
Swapnil S Mavlikar,No Text,5,IIT Delhi Library
RAJNISH KUMAR,No Text,5,IIT Delhi Library
sachchita arya,It's good but too much mosquitoes there even in  8 am,3,IIT Delhi Library
S Suraj,Super library I love it iitd😍 …,5,IIT Delhi Library
limbasiya dhyey,No Text,5,IIT Delhi Library
Alok Kr Jha,No Text,5,IIT Delhi Library
Pratap Kumbhar,No Text,5,IIT Delhi Library
NITISH SINGH,No Text,5,IIT Delhi Library
Sangh Shekhar,No Text,5,IIT Delhi Library
Vinayak Meena,No Text,5,IIT Delhi Library
Dayal Kumar,No Text,5,IIT Delhi Library
Abhishek Singh,No Text,5,IIT Delhi Library
Akshat gadhwal,No Text,5,IIT Delhi Library
mohit kumar,No Text,5,IIT Delhi Library
smritikana pal,No Text,5,IIT Delhi Library
Arun Kumar Choudhary,No Text,5,IIT Delhi Library
Tej Tarun Manikala,No Text,3,IIT Delhi Library
Bhavesh Nagar,No Text,4,IIT Delhi Library
Siva P,No Text,5,IIT Delhi Library
Esha Diwakar,No Text,5,IIT Delhi Library
Tanya Gupta,No Text,4,IIT Delhi Library
Sidhanta Gupta,No Text,4,IIT Delhi Library
Raj Bharti,Very good,4,IIT Delhi Library
Ridip Medhi,No Text,5,IIT Delhi Library
Narendra Kaler,No Text,5,IIT Delhi Library
RUTVIK WAGHMARE,No Text,5,IIT Delhi Library
Satti kalyan Reddy,No Text,5,IIT Delhi Library
Himanshu Kumawat,No Text,5,IIT Delhi Library
Mr Dan,No Text,5,IIT Delhi Library
Professor Rihan Suri,"Really a place of acquiring knowledge. A well established library headed by Dr. Nabi Hasan, Librarian.",5,IIT Delhi Library
abhinesh meena,No Text,5,IIT Delhi Library
Abhishek Kumar Singh,No Text,5,IIT Delhi Library
Mayank Anand,No Text,5,IIT Delhi Library
Bhawani Pratap Singh Panwar,No Text,5,IIT Delhi Library
ANJU SAJAN,No Text,5,IIT Delhi Library
Onima Bisht,No Text,5,IIT Delhi Library
Aditya Prakash,No Text,5,IIT Delhi Library
Shivansh Manoj,No Text,5,IIT Delhi Library
Nagesh Sayabgari,The best Library for me All sections are available,5,IIT Delhi Library
Ishant Tyagi,No Text,4,IIT Delhi Library
BISWA PRAKASH PRUSTY,"Good as compared to other.
Every where have central A/C and there are all people and students are in silence so I feel cool here and the security guard are very strict if you forget your ID Then they can't allow you.
All are there CC TV so one cannot mis behave any one and can't take any book from library",5,IIT Delhi Library
SACHIN CHAURASIYA,No Text,5,IIT Delhi Library
Shubhendu Amit,Its amazing,4,IIT Delhi Library
Monalisa sahoo,No Text,5,IIT Delhi Library
Akansha Rautela,No Text,5,IIT Delhi Library
Shiv Mahar,🕊️ …,5,IIT Delhi Library
Gyanendra Kumar Yadav,No Text,4,IIT Delhi Library
Deepak Yadav,No Text,5,IIT Delhi Library
Mani Sarthak,No Text,5,IIT Delhi Library
aryan sharma,No Text,5,IIT Delhi Library
Naman Singh Nirvan,No Text,5,IIT Delhi Library
Ayushi Srivastava,No Text,5,IIT Delhi Library
Mayank Kumar,No Text,5,IIT Delhi Library
Kajal Sharma,No Text,4,IIT Delhi Library
Shashwat Raj,No Text,5,IIT Delhi Library
Abhishek pratap,No Text,5,IIT Delhi Library
Vinita Gurnani,Best library,5,IIT Delhi Library
Prikshit Tewari,No Text,3,IIT Delhi Library
Prince Singhal,A good place to study but checkout for charging spots before sitting there.,4,IIT Delhi Library
Taukir Lalwala,No Text,5,IIT Delhi Library
Bhagwat Prasad,No Text,1,IIT Delhi Library
Shivam Singh,No Text,5,IIT Delhi Library
manish chauhan,No Text,1,IIT Delhi Library
Kamalakanta Sahu,No Text,5,IIT Delhi Library
Aman Kumar Sharma,No Text,5,IIT Delhi Library
Udayan Pandey,No Text,5,IIT Delhi Library
Santripti,No Text,5,IIT Delhi Library
Tanya,No Text,5,IIT Delhi Library
Nidhi Prasad,No Text,5,IIT Delhi Library
Vinay Kumar,No Text,5,IIT Delhi Library
Sunil Niwaria,No Text,5,IIT Delhi Library
Mahesh Kumar,Nice place to self study,5,IIT Delhi Library
Rajat Dhiman,No Text,4,IIT Delhi Library
Madhu Beniwal,No Text,5,IIT Delhi Library
Aman Singh,No Text,5,IIT Delhi Library
Akash Dhingra,No Text,5,IIT Delhi Library
Abhi 1289,"Huge Air Conditioned library with all facilities like drinking water, toilets, charging points and a huge collection of books that I will never read!",5,IIT Delhi Library
Abhishek,No Text,5,IIT Delhi Library
Mayank Mangla,No Text,5,IIT Delhi Library
ABHISHEK MEENA,No Text,5,IIT Delhi Library
puspita chanda,No Text,5,IIT Delhi Library
Prakhar Bangaria,No Text,5,IIT Delhi Library
Bhupesh Bajiya,No Text,5,IIT Delhi Library
Chirag Kansal,No Text,5,IIT Delhi Library
piyush kumar,Loved it,5,IIT Delhi Library
karnakanti manoj,No Text,4,IIT Delhi Library
Tejas Verma,No Text,5,IIT Delhi Library
Abhrodip Chaudhury,No Text,5,IIT Delhi Library
Ritika Mohan,Nice,5,IIT Delhi Library
Rohit Kumar Meena,No Text,4,IIT Delhi Library
Sambhav Rath,No Text,5,IIT Delhi Library
Rishika Khanna,No Text,4,IIT Delhi Library
Adarsh Mishra,No Text,5,IIT Delhi Library
Ayank Raj,No Text,4,IIT Delhi Library
Hari hara kumar,No Text,4,IIT Delhi Library
sourav Kumar,No Text,5,IIT Delhi Library
Dhiraj Yadav,No Text,5,IIT Delhi Library
Suraj Patni,No Text,5,IIT Delhi Library
Ayush Chaudhary,No Text,5,IIT Delhi Library
Sagar Dollin,No Text,4,IIT Delhi Library
Rahul Sirwani,No Text,5,IIT Delhi Library
Rahul Choudhary,"Good staff, Huge collection of books.
Very near to Nescafe and Amul inside IIT Delhi campus.",5,IIT Delhi Library
Akshat Tamboli,No Text,5,IIT Delhi Library
PANKAJ KUMAR,No Text,5,IIT Delhi Library
Hritik Gupta,No Text,5,IIT Delhi Library
Deepesh Gupta,No Text,5,IIT Delhi Library
Vivek Patel,No Text,5,IIT Delhi Library
Ajinkya Naik,No Text,5,IIT Delhi Library
XII A1 21 Ayushman kumar singh,No Text,5,IIT Delhi Library
Virender Grover,No Text,5,IIT Delhi Library
Kunal Shahi,No Text,5,IIT Delhi Library
Avinash Kumar,No Text,5,IIT Delhi Library
Satyam Sriraj,No Text,5,IIT Delhi Library
Hemang Khurana,No Text,5,IIT Delhi Library
Musaib Gani,No Text,5,IIT Delhi Library
Abhijeet Anand,No Text,5,IIT Delhi Library
Rishabh Bajpai,No Text,5,IIT Delhi Library
rahul soni,Wonderful place to study as well has a wide collection of books both for course reference and for leasure.,5,IIT Delhi Library
Chandrudu K,No Text,5,IIT Delhi Library
Jaydeep Singh,No Text,5,IIT Delhi Library
amit kashalya,No Text,5,IIT Delhi Library
sunita ram,No Text,5,IIT Delhi Library
Manu T. R.,No Text,5,IIT Delhi Library
Abhinay Penumudi,No Text,5,IIT Delhi Library
Shital Bissu,No Text,5,IIT Delhi Library
Ajay Ghunawat,No Text,5,IIT Delhi Library
Yawar Ali,No Text,4,IIT Delhi Library
Raj Karan,Good place,4,IIT Delhi Library
Rohan bargot,No Text,5,IIT Delhi Library
Ratnesh,No Text,5,IIT Delhi Library
Kalyan Sundar Naskar,No Text,4,IIT Delhi Library
Subrata Sarkar,No Text,5,IIT Delhi Library
Rajat Bhardwaj,No Text,4,IIT Delhi Library
Sunil Kumar Gurjar,No Text,5,IIT Delhi Library
satyavir singh,Good experience,5,IIT Delhi Library
Lekhraj Rana,No Text,5,IIT Delhi Library
Nisha Saha (angry bird),Best ❤️,5,IIT Delhi Library
Dibya Jyoti Sarangi,No Text,5,IIT Delhi Library
sheetal yadav,No Text,4,IIT Delhi Library
Ayush,No Text,3,IIT Delhi Library
Harshit Sharma,Not so spacious and quiet as an ideal library should be but amidst the campus during off exam season this is actually the best place to concentrate and learn because of its location and sunlight and other facilities.,3,IIT Delhi Library
Naina Nagpal,No Text,5,IIT Delhi Library
ZeD,No Text,5,IIT Delhi Library
Rahul Verma,No Text,5,IIT Delhi Library
Rameshwaram Tiwari,IIT Delhi library.,5,IIT Delhi Library
Bhawan Rawat,No Text,5,IIT Delhi Library
Gunjan,No Text,4,IIT Delhi Library
Aditya Singh,No Text,5,IIT Delhi Library
Bhanu Pratap Asiwal,No Text,5,IIT Delhi Library
Aravind Reddy,No Text,5,IIT Delhi Library
Pradeep kumar,"Awesome facilities like as pin silent study environment,  Wi-Fi speed, seating arrangement and many more..",5,IIT Delhi Library
Komalkant Adlak,No Text,4,IIT Delhi Library
Sanjay Maurya,No Text,5,IIT Delhi Library
Arjun Bhaskar,No Text,5,IIT Delhi Library
Sandeep Lamba,No Text,5,IIT Delhi Library
priya rangra,No Text,5,IIT Delhi Library
Ashish Kumar,No Text,5,IIT Delhi Library
Rahul Srivastava,No Text,5,IIT Delhi Library
kunal joshi,No Text,5,IIT Delhi Library
Ashutosh Jaiswal,No Text,5,IIT Delhi Library
Nitesh Yadav,No Text,5,IIT Delhi Library
Demiwal Group,No Text,5,IIT Delhi Library
Praveen Kumar,No Text,5,IIT Delhi Library
Krishnan K N,No Text,4,IIT Delhi Library
Ashwini kumar,No Text,5,IIT Delhi Library
Ankit Kumar,No Text,5,IIT Delhi Library
Ankit Meena,"One of the best place in IIT ,Delhi campus great environment to study peacfully and are available large number of books to read from.",5,IIT Delhi Library
Gyanendra Kumar,No Text,5,IIT Delhi Library
Harsh Jhanjharia,Great place,5,IIT Delhi Library
Karan Yadav,One of the best library!!,5,IIT Delhi Library
Shraddha Singhal,No Text,5,IIT Delhi Library
Avi Kumar,No Text,5,IIT Delhi Library
kishan rai,No Text,5,IIT Delhi Library
Neha Garg,No Text,5,IIT Delhi Library
Amita Giri,No Text,5,IIT Delhi Library
SHASHI SONI,No Text,5,IIT Delhi Library
Tanveer Ahmad Najar,No Text,4,IIT Delhi Library
AVINASH BANSAL,No Text,5,IIT Delhi Library
deepak kumar,No Text,5,IIT Delhi Library
Kalpak Gupta,No Text,5,IIT Delhi Library
bidyut barman,No Text,5,IIT Delhi Library
Arvish Dabra,No Text,5,IIT Delhi Library
Pankaj Sharma,No Text,5,IIT Delhi Library
Pooja Sharma,No Text,5,IIT Delhi Library
sooryansh asthana,No Text,5,IIT Delhi Library
Gurpinder Singh,No Text,5,IIT Delhi Library
Harendra Rana,No Text,5,IIT Delhi Library
happy budhwar,No Text,4,IIT Delhi Library
deba,No Text,5,IIT Delhi Library
Gagandeep Chauhan,No Text,5,IIT Delhi Library
Ashu,No Text,5,IIT Delhi Library
Priyanka Singh,No Text,5,IIT Delhi Library
Yash,No Text,5,IIT Delhi Library
Tarun Saini,No Text,5,IIT Delhi Library
shivam trivedi,No Text,5,IIT Delhi Library
Anupam Singh,No Text,4,IIT Delhi Library
sanket gandhi,No Text,5,IIT Delhi Library
Krishna Sasmal,No Text,5,IIT Delhi Library
kareena home furnishing,Good,4,IIT Delhi Library
Yashaswi Ratan,No Text,5,IIT Delhi Library
satyaprakash sahoo,Honestly its been very close to myself as I spent many memorable days together with some of my colleagues during my stay at IIT-Delhi..,5,IIT Delhi Library
Prakhhar,No Text,5,IIT Delhi Library
Aditya Raman,No Text,5,IIT Delhi Library
Akanksha Mishra,No Text,5,IIT Delhi Library
Pankaj Singh Bora,Outsider is not allow......................,1,IIT Delhi Library
muneshi meena,This is best place to read books and other stuff many students came here and live here whole day and night many upsc aspirants also came here to study this has fully air conditioned and chairs and tables are properly arranged and in well conditioned,5,IIT Delhi Library
Ankur Thakur,No Text,5,IIT Delhi Library
Aasheesh Jha,No Text,5,IIT Delhi Library
Jai Javeria,3 floor library .lot of books,5,IIT Delhi Library
MD RIZWANULLAH,No Text,5,IIT Delhi Library
Sourav Sahoo,One of the best libraries I had ever been to... is open round the clock.,5,IIT Delhi Library
Pankaj Yadav,No Text,5,IIT Delhi Library
T.S. AZAD,No Text,5,IIT Delhi Library
Dharmpal Palsania,No Text,5,IIT Delhi Library
P M,No Text,5,IIT Delhi Library
MOHD SAAD SHAMIM,No Text,5,IIT Delhi Library
Vaibhav Jaiswal,"Good, comfortable library to study all day",4,IIT Delhi Library
Deepak kumar,reading with entertainment ..,5,IIT Delhi Library
Samarth Patil,No Text,4,IIT Delhi Library
Ritesh Saha,No Text,5,IIT Delhi Library
vishakha mahour,No Text,5,IIT Delhi Library
Cb Vaswar,No Text,5,IIT Delhi Library
Sumit Kumar Gupta,"It's a renowed library, having around 3laks collections of books and it also subscribes electronic journals. It has a good collection.",5,IIT Delhi Library
Adrien Topalian,"Quiet place, ver nice to study. Most of the people respect the silence there and many books are available for the students of IIT",5,IIT Delhi Library
Paramanand N,No Text,5,IIT Delhi Library
Pankaj Bansal,No Text,5,IIT Delhi Library
Chirag Rade,Best for studying in iit,5,IIT Delhi Library
Pranay Singh,awesome,5,IIT Delhi Library
Alok Dayma,Nice place for study in IITD,5,IIT Delhi Library
Gummadivalli Shiva Kumar,One of the best places to study in IITD. Need improvements of some sorts,5,IIT Delhi Library
Sumit Sihag,No Text,5,IIT Delhi Library
ajay bhartiya,Place where I stay in nights. Great facilities to study .,5,IIT Delhi Library
MANOJ KUMAR,Loved this place.,5,IIT Delhi Library
bobby singh,What is the charge of library entry ?,1,IIT Delhi Library
LOHIT JAIN,"Peaceful place, 24 Hours open, All useful reference books (Technical and General both) and easy to access.",5,IIT Delhi Library
Shubham Chanana,No Text,5,IIT Delhi Library
Punit Sharma,very comfottable place to study 24X7,5,IIT Delhi Library
Sameer Kumar,"Excellent Library, Open till 6 pm, Outsiders Students/Reserachers with ID card and letter from their institute can request to get access. They generally allow for study and photocopy.You( outsider) can not rent/borrow a book .",4,IIT Delhi Library
Liton Islam,No Text,5,IIT Delhi Library
Anoop Singh,Nice place to study,4,IIT Delhi Library
Mf Saifi,It's simply amazing.,4,IIT Delhi Library
Diptangshu Debnath,Large area with great facilities. Reading room is opened for 24*7.,5,IIT Delhi Library
Suraj Mani,Best library,5,IIT Delhi Library
Nishant Rajput,Are outsider allow in this Library?,4,IIT Delhi Library
mayank mahawar,Rich in knowledge but one star less for availability issues of some common books....,4,IIT Delhi Library
kunal kishore,I jus love this place,5,IIT Delhi Library
shiva kumar prajapati,No Text,1,IIT Delhi Library
Achintya Kumar,Great library,5,IIT Delhi Library
Navaneeth K Nair,Rich collection of book... variety of book rare and most needed books are available here,5,IIT Delhi Library
Pranjal Singh,"Great place for the nerds! A rich collection of books across various disciplines.

Entry of non-college people based on entry in register. Bag, personal books and food not allowed inside. Notebook, laptop, water bottle allowed. Centrally air-conditioned. Ample charging spots for laptops. Three shops (Amul, Lipton and Nescafe) below the library.",5,IIT Delhi Library
K CHANDRAKANTH,No Text,4,IIT Delhi Library
Dilkhush Meena,Really great..study any time 24×7,5,IIT Delhi Library
Upvan Mittal,No Text,5,IIT Delhi Library
Ayush Mandloi,Best library,5,IIT Delhi Library
Dr. Yash Paul Sharma,Really the good one,5,IIT Delhi Library
SHIVAM GOYAL,No Text,5,IIT Delhi Library
LOONCHAND JAIN,nice,4,IIT Delhi Library
Ashok Appu,No Text,1,IIT Delhi Library
be creative with maahi,Assum,4,IIT Delhi Library
Rajat Jain,The best place to study !!,5,IIT Delhi Library
Dipsikha Dipsikha Bordoloi,Good,5,IIT Bombay Library
Raut Vishal,No Text,5,IIT Bombay Library
Ajay Akbar,No Text,5,IIT Bombay Library
Shirish Naik,No Text,5,IIT Bombay Library
ROHAN,No Text,5,IIT Bombay Library
Ataullah Shareef,Central library Mumbai,5,IIT Bombay Library
Pranil Patil,2024📍 …,5,IIT Bombay Library
Jay Vora,No Text,5,IIT Bombay Library
Mohit Kumar,No Text,5,IIT Bombay Library
Chandrika Vijayan,No Text,5,IIT Bombay Library
Kishan Kumar Upadhyay,No Text,5,IIT Bombay Library
Akshat Goel,No Text,5,IIT Bombay Library
Kunal Paroda,State of the art library,5,IIT Bombay Library
Archana Srivastava,No Text,4,IIT Bombay Library
Samatha Kancharla,No Text,5,IIT Bombay Library
Harshal Patil,No Text,5,IIT Bombay Library
Dharmesh Varia,No Text,5,IIT Bombay Library
govind kumar,No Text,5,IIT Bombay Library
Sai Preetham Dasu,No Text,5,IIT Bombay Library
Subhadip Pal,No Text,5,IIT Bombay Library
Waizul Arfin,No Text,5,IIT Bombay Library
Johnson Joseph,No Text,5,IIT Bombay Library
Gnanaoli G,No Text,5,IIT Bombay Library
RAVI SHANKAR,No Text,5,IIT Bombay Library
Afzal Malek,No Text,5,IIT Bombay Library
Rajaram Nivargi,Good library.,5,IIT Bombay Library
Veerendra Sahu,No Text,4,IIT Bombay Library
disha ghatge,No Text,5,IIT Bombay Library
Anish R Nath,Library,5,IIT Bombay Library
Ved Prakash Singh,No Text,5,IIT Bombay Library
Tejaswini Hotkar,No Text,5,IIT Bombay Library
Ibrahim dhuka,No Text,2,IIT Bombay Library
Sagar Nagapnor,No Text,5,IIT Bombay Library
ZK Furnishing and Hardwares,No Text,5,IIT Bombay Library
Nidhi,No Text,4,IIT Bombay Library
keerthana vinod,No Text,5,IIT Bombay Library
Chinmay Kale,No Text,5,IIT Bombay Library
sri charan raj kanakala,No Text,5,IIT Bombay Library
Ashish Minati,The library will open soon for outsider I promise you but you want to pay a small amount of money,1,IIT Bombay Library
Sushil Kumar,☺️,5,IIT Bombay Library
Ashutosh Pandey,"a good place to self study.
the place is spacious with comfortable chairs and good lighting.
the environment is very study friendly.
the staff is supportive.
i was able to crack my neet pg exam because of this place.",5,IIT Bombay Library
Singh Raj,No Text,5,IIT Bombay Library
Aryan Khaparde,No Text,5,IIT Bombay Library
Ashok Kumar Pandit,Awesome,5,IIT Bombay Library
Dhruva Kumar,No Text,5,IIT Bombay Library
Devendra D,Good,5,IIT Bombay Library
Pratik Kathe,So many books to learn and read!!!,5,IIT Bombay Library
Abhishek Kori,Pleasant,5,IIT Bombay Library
Sandeep Patil,No Text,5,IIT Bombay Library
IshuBanna official,good material,5,IIT Bombay Library
Adiyti Suman,Place to read,5,IIT Bombay Library
Harish Prajapati,A very good library inside IIT campus. You get to read the different types of books. It's a sea of knowledge out there.,5,IIT Bombay Library
B Sathya Priya,No Text,4,IIT Bombay Library
Harsh Narkar,No Text,5,IIT Bombay Library
SURYAKANTA BEHERA,Evng time best for sit also pic,5,IIT Bombay Library
Upendra Nadgaonkar,A very good library inside IIT campus. You get to read the different types of books. It's a sea of knowledge out there.,5,IIT Bombay Library
Himanshu Marothya,No Text,5,IIT Bombay Library
Abhijeet Sangle,No Text,5,IIT Bombay Library
Vishal Sareen,Awesome...,5,IIT Bombay Library
deepak kumar,No Text,5,IIT Bombay Library
Praharsh Agrawal,"Amazing! There are so many books, you can not even imagine....",5,IIT Bombay Library
Anil Saini,Feel awesome,5,IIT Bombay Library
Ajinkya Dewalkar,No Text,5,IIT Bombay Library
Jagadeesh Adapureddi,No Text,4,IIT Bombay Library
Ashutosh,No Text,5,IIT Bombay Library
aryaman panwar,No Text,5,IIT Bombay Library
manikanta gurram,No Text,4,IIT Bombay Library
Dr Yatin Diwakar,Very helpful staff. Wide collection of books,5,IIT Bombay Library
Apurv Tiwari,No Text,5,IIT Bombay Library
Tanmay Kewale,No Text,5,IIT Bombay Library
Bijay Shah,No Text,4,IIT Bombay Library
Amit verma,No Text,5,IIT Bombay Library
Uday Shankar Dwivedi,No Text,5,IIT Bombay Library
Samyak Shah,No Text,4,IIT Bombay Library
Bhaskar,Very good place to study.,5,IIT Bombay Library
Akanksha Raj,No Text,5,IIT Bombay Library
balaji siddardha,No Text,5,IIT Bombay Library
Prakhar Agarwal,No Text,5,IIT Bombay Library
Aditya Anand IITB,No Text,5,IIT Bombay Library
amazon shopping,Good place,5,IIT Bombay Library
NAUSHAD AHMED KHAN,"DEC,2018 Photo of Library....",5,IIT Bombay Library
yash shukla,No Text,5,IIT Bombay Library
Ravi Bisht,No Text,5,IIT Bombay Library
pradyumna behera,No Text,5,IIT Bombay Library
Piyush Gumgaonkar,No Text,5,IIT Bombay Library
Yash Dhansare,No Text,5,IIT Bombay Library
Banothu Shiva,No Text,5,IIT Bombay Library
shweta bhagat,No Text,5,IIT Bombay Library
HIMANSHU SEKHAR BAL,"Best place for reading. Can read night long in the reading room.
All books available.",5,IIT Bombay Library
Kiranprava Maharana,No Text,4,IIT Bombay Library
Swastik Dasgaonkar,"Great place and environment to study properly. Many students don't know the 1st floor (going through steps near the washroom, just opposite to journal sections) also has library space to study. 1st floor is really silent and good place to study. It has also canteen facility underground in middle free space.",5,IIT Bombay Library
Srijan Jha,No Text,5,IIT Bombay Library
sachin garg,No Text,5,IIT Bombay Library
Neeraj Meena,No Text,5,IIT Bombay Library
Anubhav Kamle,No Text,5,IIT Bombay Library
NAINSI GUPTA,No Text,5,IIT Bombay Library
Utsav Desai,No Text,5,IIT Bombay Library
Abhijeet Singh,No Text,5,IIT Bombay Library
prajwal kamble,No Text,5,IIT Bombay Library
kamlesh verma,No Text,4,IIT Bombay Library
